Year,Series,Measure,Sector,Geopolitical Zone,State,Units,GeoCode,Value
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,South West,,Millions,NGSWZ01,16.27
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Abia,Millions,NGAB01,1.12
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Adamawa,Millions,NGAD02,3.44
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Akwa Ibom,Millions,NGAK03,5.08
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Anambra,Millions,NGAN04,1.64
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Bauchi,Millions,NGBA05,5.71
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Bayelsa,Millions,NGBY06,2.61
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Benue,Millions,NGBE07,4.71
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Borno,Millions,NGBO08,2.25
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Cross River,Millions,NGXR09,3.44
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Delta,Millions,NGDE10,2.73
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Ebonyi,Millions,NGEB11,3.66
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Edo,Millions,NGED12,1.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Ekiti,Millions,NGEK13,1.31
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Enugu,Millions,NGEN14,2.63
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Gombe,Millions,NGGO15,3.02
